Seed was:  1322998564246784757
1322998564246784757
89.54358100891113
         99955905 function calls (99935444 primitive calls) in 102.775 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:17(Quantize)
        1    0.000    0.000    0.000    0.000 __init__.py:170(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(<listcomp>)
       22    0.000    0.000    0.001    0.000 __init__.py:172(flex_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:173(DeferredCudaCallError)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:177(AccessorRegistrationWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:18(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:18(is_available)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:183(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:189(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        8    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:198(set_testing_mode)
       11    0.002    0.000    0.897    0.082 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        5    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:206(NumbaUtilError)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:212(DuplicateLabelError)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:2162(NullHandler)
        7    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(CheckerError)
        1    0.000    0.000    0.000    0.000 __init__.py:22(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:226(<listcomp>)
        7    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:231(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:233(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
       11    0.000    0.000    0.000    0.000 __init__.py:237(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:24(_QEngineProp)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
       11    0.000    0.000    0.000    0.000 __init__.py:242(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:244(cudaStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:246(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:248(CudaError)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:25(MkldnnModule)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(device)
        1    0.000    0.000    0.000    0.000 __init__.py:26(ContextProp)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:26(__init__)
       11    0.001    0.000    0.014    0.001 __init__.py:26(_apply_docstring_templates)
        1    0.000    0.000    0.000    0.000 __init__.py:261(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       25    0.000    0.000    0.000    0.000 __init__.py:263(<genexpr>)
       41    0.000    0.000    0.000    0.000 __init__.py:264(<genexpr>)
        5    0.000    0.000    0.000    0.000 __init__.py:27(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:28(context)
        1    0.000    0.000    0.000    0.000 __init__.py:286(device_of)
       69    0.000    0.000    0.000    0.000 __init__.py:291(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:291(<listcomp>)
      180    0.000    0.000    0.000    0.000 __init__.py:293(<genexpr>)
        6    0.000    0.000    0.000    0.000 __init__.py:297(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        5    0.000    0.000    0.747    0.149 __init__.py:3(<module>)
       29    0.000    0.000    0.000    0.000 __init__.py:308(_reduction_identity)
        1    0.000    0.000    0.000    0.000 __init__.py:31(_SupportedQEnginesProp)
        1    0.000    0.000    0.000    0.000 __init__.py:31(cuFFTPlanCache)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:32(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:326(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:327(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:330(<listcomp>)
        1    0.000    0.000    0.003    0.003 __init__.py:332(Version)
        6    0.000    0.000    0.000    0.000 __init__.py:336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:338(<listcomp>)
        2    0.000    0.000    0.003    0.001 __init__.py:340(__init__)
      108    0.006    0.000    0.015    0.000 __init__.py:345(namedtuple)
       20    0.000    0.000    0.000    0.000 __init__.py:346(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:352(_mac_os_check)
       15    0.000    0.000    0.000    0.000 __init__.py:357(_canonical_dim)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        2    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        6    0.000    0.000    0.000    0.000 __init__.py:374(_input_mask)
        1    0.000    0.000    0.000    0.000 __init__.py:377(StreamContext)
        1    0.000    0.000    0.000    0.000 __init__.py:38(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:39(QuantizedEngine)
        1    0.000    0.000    0.000    0.000 __init__.py:39(_LazySeedTracker)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:40(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:41(PropModule)
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
       14    0.000    0.000    0.003    0.000 __init__.py:411(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:415(dev)
        1    0.000    0.000    0.000    0.000 __init__.py:418(__init__)
      432    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        6    0.000    0.000    0.001    0.000 __init__.py:419(sum)
        2    0.000    0.000    0.000    0.000 __init__.py:42(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:424(validate)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:430(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:440(prod)
        6    0.000    0.000    0.001    0.000 __init__.py:456(flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:46(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:46(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:463(amax)
       18    0.000    0.000    0.000    0.000 __init__.py:468(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 __init__.py:469(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:477(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:494(amin)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:5(HTTPStatus)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        6    0.000    0.000    0.000    0.000 __init__.py:507(_parse_local_version)
        1    0.000    0.000    0.000    0.000 __init__.py:508(Formatter)
        4    0.000    0.000    0.000    0.000 __init__.py:509(cast)
        6    0.000    0.000    0.000    0.000 __init__.py:519(_cmpkey)
        1    0.000    0.000    0.000    0.000 __init__.py:52(cuFFTPlanCacheManager)
        1    0.000    0.000    0.000    0.000 __init__.py:525(mean)
        1    0.000    0.000    0.000    0.000 __init__.py:53(ParserError)
        6    0.000    0.000    0.000    0.000 __init__.py:534(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:558(norm)
        1    0.000    0.000    0.000    0.000 __init__.py:58(NegativeInfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:589(var)
        3    0.000    0.000    0.000    0.000 __init__.py:6(is_available)
        1    0.000    0.000    0.000    0.000 __init__.py:602(_UntypedStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:605(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:61(__dir__)
        1    0.000    0.000    0.000    0.000 __init__.py:610(DoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:615(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:620(HalfStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:625(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:630(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:635(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:636(softmax)
        1    0.000    0.000    0.000    0.000 __init__.py:64(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:640(CharStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:645(BoolStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:650(BFloat16Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:654(log_softmax)
        1    0.000    0.000    0.000    0.000 __init__.py:655(ComplexDoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:66(DeQuantize)
        1    0.000    0.000    0.000    0.000 __init__.py:660(ComplexFloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:664(_CudaBase)
        1    0.000    0.000    0.000    0.000 __init__.py:665(QUInt8Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:67(DtypeWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:670(QInt8Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:672(softmin)
        1    0.000    0.000    0.000    0.000 __init__.py:675(QInt32Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:679(_UntypedStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:680(QUInt4x2Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:682(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:685(QUInt2x4Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:687(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:687(DoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:690(normalize)
        1    0.000    0.000    0.000    0.000 __init__.py:692(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:697(HalfStorage)
